PlayerName,Year,League,gs,g,ip_value,ip_label,h,r,er,bb,so,hbp,ibb,ab,bf,fo,go,np,Win,Loss,Save,era_value,era_label,wlp_value,wlp_label,whip_value,whip_label,h9_value,h9_label,bb9_value,bb9_label,so9_value,so9_label,sobb_value,sobb_label
Scott Prins,2019,Hoofdklasse Honkbal (NLD),3,6,22.000000000000004,22.0,17,7,4,9,21,2,0,79,93,18,24,351,0,0,1,1.636363636363636,1.64,0.0,.000,1.1818181818181817,1.182,6.954545454545453,7.0,3.681818181818181,3.7,8.59090909090909,8.6,2.3333333333333335,2.3
Scott Ronnenbergh,2010,Hoofdklasse Honkbal (NLD),4,18,51.666666666666664,51.2,41,28,27,36,49,6,1,185,231,37,60,0,4,3,2,4.703225806451613,4.7,0.5714285714285714,.571,1.4903225806451614,1.49,7.141935483870968,7.1,6.270967741935484,6.3,8.535483870967742,8.5,1.3611111111111112,1.4
Scott Ronnenbergh,2011,Hoofdklasse Honkbal (NLD),0,2,2.333333333333333,2.1,1,0,0,0,3,0,0,8,8,2,2,0,0,0,0,0.0,0.0,0.0,.000,0.4285714285714286,0.429,3.8571428571428577,3.9,0.0,0.0,11.571428571428573,11.6,0.0,0.0
Scott Ronnenbergh,2013,Hoofdklasse Honkbal (NLD),0,2,2.333333333333333,2.1,3,2,1,5,3,0,0,10,15,0,4,64,0,0,0,3.8571428571428577,3.86,0.0,.000,3.428571428571429,3.429,11.571428571428573,11.6,19.28571428571429,19.3,11.571428571428573,11.6,0.6,0.6
Scott Ronnenbergh,2014,Hoofdklasse Honkbal (NLD),1,22,25.666666666666664,25.2,22,14,10,18,22,2,0,91,116,14,34,434,0,1,1,3.506493506493507,3.51,0.0,.000,1.5584415584415585,1.558,7.714285714285715,7.7,6.311688311688313,6.3,7.714285714285715,7.7,1.2222222222222223,1.2
Scott Ronnenbergh,2015,Hoofdklasse Honkbal (NLD),1,23,42.0,42.0,36,22,19,40,33,2,0,159,202,37,49,798,2,0,0,4.071428571428571,4.07,1.0,1.000,1.8095238095238095,1.81,7.714285714285714,7.7,8.571428571428571,8.6,7.071428571428571,7.1,0.825,0.8
Scott Ronnenbergh,2016,Hoofdklasse Honkbal (NLD),5,16,44.0,44.0,47,35,31,40,37,2,0,175,220,48,42,805,2,3,1,6.340909090909091,6.34,0.4,.400,1.9772727272727273,1.977,9.613636363636363,9.6,8.181818181818182,8.2,7.568181818181818,7.6,0.925,0.9
Scott Ronnenbergh,2017,Hoofdklasse Honkbal (NLD),0,15,21.666666666666664,21.2,12,7,7,17,15,1,0,76,95,24,24,358,3,1,1,2.907692307692308,2.91,0.75,.750,1.3384615384615386,1.338,4.984615384615386,5.0,7.061538461538462,7.1,6.230769230769232,6.2,0.8823529411764706,0.9
Seb Visser,2017,Hoofdklasse Honkbal (NLD),0,1,1.6666666666666665,1.2,3,4,1,2,1,0,0,9,12,4,0,34,0,1,0,5.4,5.4,0.0,.000,3.0000000000000004,3.0,16.200000000000003,16.2,10.8,10.8,5.4,5.4,0.5,0.5
Seb Visser,2018,Hoofdklasse Honkbal (NLD),0,3,4.333333333333333,4.1,7,5,2,3,4,1,1,20,24,4,3,82,0,0,0,4.153846153846154,4.15,0.0,.000,2.307692307692308,2.308,14.53846153846154,14.5,6.230769230769231,6.2,8.307692307692308,8.3,1.3333333333333333,1.3
Sebastiaan Kok,2019,Hoofdklasse Honkbal (NLD),0,1,2.0,2.0,1,0,0,0,1,0,0,6,7,0,5,27,1,0,0,0.0,0.0,1.0,1.000,0.5,0.5,4.5,4.5,0.0,0.0,4.5,4.5,0.0,0.0
Sebastiaan van de Koppel,2014,Hoofdklasse Honkbal (NLD),1,2,5.0,5.0,7,5,5,5,0,0,0,19,24,8,3,103,0,1,0,9.0,9.0,0.0,.000,2.4,2.4,12.6,12.6,9.0,9.0,0.0,0.0,0.0,0.0
Sedley Karel,2010,Hoofdklasse Honkbal (NLD),0,3,6.666666666666667,6.2,4,1,0,3,7,0,0,20,25,6,5,0,0,0,0,0.0,0.0,0.0,.000,1.05,1.05,5.3999999999999995,5.4,4.05,4.0,9.45,9.4,2.3333333333333335,2.3
Sedley Karel,2011,Hoofdklasse Honkbal (NLD),0,31,32.666666666666664,32.2,34,28,20,19,28,4,0,128,155,33,29,0,2,2,1,5.510204081632653,5.51,0.5,.500,1.6224489795918369,1.622,9.36734693877551,9.4,5.234693877551021,5.2,7.714285714285714,7.7,1.4736842105263157,1.5
Sedley Karel,2012,Hoofdklasse Honkbal (NLD),0,28,32.66666666666667,32.2,24,9,7,17,25,0,0,121,140,34,32,539,3,0,0,1.9285714285714284,1.93,1.0,1.000,1.2551020408163263,1.255,6.612244897959183,6.6,4.683673469387754,4.7,6.887755102040815,6.9,1.4705882352941178,1.5
Sedley Karel,2013,Hoofdklasse Honkbal (NLD),0,29,38.666666666666664,38.2,34,17,10,11,25,1,1,146,160,28,55,592,1,2,2,2.327586206896552,2.33,0.3333333333333333,.333,1.163793103448276,1.164,7.913793103448277,7.9,2.560344827586207,2.6,5.81896551724138,5.8,2.272727272727273,2.3
Sedley Karel,2014,Hoofdklasse Honkbal (NLD),0,28,38.333333333333336,38.1,31,13,10,15,33,3,1,134,155,30,37,592,1,2,2,2.3478260869565215,2.35,0.3333333333333333,.333,1.2,1.2,7.278260869565217,7.3,3.5217391304347823,3.5,7.747826086956521,7.7,2.2,2.2
Sedley Karel,2015,Hoofdklasse Honkbal (NLD),0,31,35.33333333333333,35.1,37,24,23,29,22,4,1,135,171,34,41,644,2,2,0,5.858490566037736,5.86,0.5,.500,1.867924528301887,1.868,9.424528301886793,9.4,7.38679245283019,7.4,5.603773584905661,5.6,0.7586206896551724,0.8
Sedley Karel,2016,Hoofdklasse Honkbal (NLD),0,23,20.666666666666664,20.2,16,10,7,23,30,3,1,74,102,13,16,440,0,1,14,3.048387096774194,3.05,0.0,.000,1.8870967741935487,1.887,6.967741935483872,7.0,10.016129032258066,10.0,13.06451612903226,13.1,1.3043478260869565,1.3
Sedley Karel,2017,Hoofdklasse Honkbal (NLD),1,21,23.666666666666664,23.2,24,22,17,32,19,3,0,90,126,19,26,515,0,3,4,6.464788732394367,6.46,0.0,.000,2.366197183098592,2.366,9.126760563380282,9.1,12.169014084507044,12.2,7.225352112676057,7.2,0.59375,0.6
Sem Lauf,2018,Hoofdklasse Honkbal (NLD),0,2,2.3333333333333335,2.1,5,6,6,2,2,1,0,11,15,3,2,58,0,0,0,23.142857142857142,23.14,0.0,.000,3.0,3.0,19.285714285714285,19.3,7.7142857142857135,7.7,7.7142857142857135,7.7,1.0,1.0
Sem Lauf,2019,Hoofdklasse Honkbal (NLD),10,21,74.66666666666666,74.2,103,73,58,41,45,5,0,318,368,82,83,1335,1,11,0,6.99107142857143,6.99,0.08333333333333333,.083,1.9285714285714288,1.929,12.415178571428573,12.4,4.9419642857142865,4.9,5.424107142857143,5.4,1.0975609756097562,1.1
Sem Robberse,2018,Hoofdklasse Honkbal (NLD),3,10,28.333333333333332,28.1,37,16,13,10,16,1,0,118,129,21,42,441,1,5,0,4.129411764705883,4.13,0.16666666666666666,.166,1.6588235294117648,1.659,11.75294117647059,11.8,3.1764705882352944,3.2,5.082352941176471,5.1,1.6,1.6
Sem Robberse,2019,Hoofdklasse Honkbal (NLD),9,9,64.0,64.0,50,24,13,9,62,4,0,244,259,33,87,883,6,3,0,1.828125,1.83,0.6666666666666666,.666,0.921875,0.922,7.03125,7.0,1.265625,1.3,8.71875,8.7,6.888888888888889,6.9
Sergino Martis,2016,Hoofdklasse Honkbal (NLD),0,1,1.0,1.0,0,0,0,1,1,0,0,2,4,1,1,18,0,0,0,0.0,0.0,0.0,.000,1.0,1.0,0.0,0.0,9.0,9.0,9.0,9.0,1.0,1.0
Shane Boeree,2014,Hoofdklasse Honkbal (NLD),0,1,1.0,1.0,1,1,0,0,0,0,0,5,5,2,1,16,0,0,0,0.0,0.0,0.0,.000,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Boeree,2015,Hoofdklasse Honkbal (NLD),0,1,1.0,1.0,1,0,0,0,1,0,0,4,4,1,1,12,0,0,1,0.0,0.0,0.0,.000,1.0,1.0,9.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0
Shane Gnade,2010,Hoofdklasse Honkbal (NLD),4,10,31.0,31.0,32,22,15,13,17,7,0,120,144,40,31,0,0,2,1,4.354838709677419,4.35,0.0,.000,1.4516129032258065,1.452,9.290322580645162,9.3,3.774193548387097,3.8,4.935483870967742,4.9,1.3076923076923077,1.3
Shane Gnade,2011,Hoofdklasse Honkbal (NLD),0,26,53.333333333333336,53.1,56,25,19,19,17,4,3,189,224,65,62,0,2,4,0,3.20625,3.21,0.3333333333333333,.333,1.40625,1.406,9.45,9.4,3.20625,3.2,2.86875,2.9,0.8947368421052632,0.9
Shane Gnade,2012,Hoofdklasse Honkbal (NLD),0,12,12.666666666666666,12.2,12,12,7,9,5,0,0,49,62,16,16,220,0,1,0,4.973684210526316,4.97,0.0,.000,1.6578947368421053,1.658,8.526315789473685,8.5,6.394736842105264,6.4,3.5526315789473686,3.6,0.5555555555555556,0.6
