PlayerName,FirstAppearance,LatestAppearance,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
Michael Pluijmers,"April 10, 2010 (<b>HCAW</b> - Hoofddorp Pioniers)","September 21, 2013 (<b>Hoofddorp Pioniers</b> - Curacao Neptunus)",196,792,686,109,171,74,35,2,1,68,7,11,7,25,6,126,0,11,Third Baseman,0,91,99,0,0,2,0,0,4,2,0,3,0.24927113702623907,.249,0.34194450753726796,.341,0.3104956268221574,.310,0.621101687428218,.621,0.061224489795918366,.061
Michael Riekerk,"June 28, 2012 (<b>Sparta-Feyenoord</b> - L&D Amsterdam Pirates)","September 1, 2012 (<b>Sparta-Feyenoord</b> - Mampaey Hawks)",8,20,19,1,3,1,0,0,0,1,1,0,0,0,0,7,0,0,Third Baseman,0,0,7,1,0,0,0,0,1,0,0,0,0.15789473684210525,.157,0.34192754090914523,.341,0.15789473684210525,.157,0.35789473684210527,.357,0.0,.000
Michel Korzeniewski,"April 10, 2010 (L&D Amsterdam Pirates - <b>AdoLakers</b>)","September 11, 2010 (Almere Magpies - <b>AdoLakers</b>)",45,183,163,9,41,6,3,0,0,16,0,1,2,2,0,9,0,11,Catcher,1,0,0,43,0,3,0,0,1,0,0,0,0.25153374233128833,.251,0.341906211754873,.341,0.26993865030674846,.269,0.5923430218914479,.592,0.018404907975460124,.018
Michel Offerman,"May 15, 2014 (Hoofddorp Pioniers - <b>Mampaey Hawks</b>)","September 26, 2015 (<b>Mampaey Hawks</b> - Twins)",30,32,30,0,3,0,2,0,0,1,0,0,1,0,0,13,0,1,Pitcher,0,9,0,0,0,0,0,20,0,0,0,1,0.1,.100,0.34187075093859864,.341,0.16666666666666666,.166,0.32291666666666663,.322,0.06666666666666667,.066
Michiel Ruiter,"April 7, 2012 (<b>Sparta-Feyenoord</b> - Curacao Neptunus)","July 29, 2012 (UVV - <b>Sparta-Feyenoord</b>)",36,109,91,12,15,4,3,0,0,12,3,3,5,1,0,25,0,0,Left Fielder,0,0,0,0,9,1,26,0,3,0,3,0,0.16483516483516483,.164,0.341839351967837,.341,0.1978021978021978,.197,0.49138017945357393,.491,0.03296703296703297,.032
Michiel van Kampen,"April 10, 2010 (<b>Kinheim</b> - Almere Magpies)","August 22, 2010 (<b>Kinheim</b> - L&D Amsterdam Pirates)",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,24,0,0,0,0,0.0,.000,0.341839351967837,.341,0.0,.000,,.000,0.0,.000
Mick Molenaar,"September 15, 2013 (<b>Twins</b> - AdoLakers)","September 17, 2017 (<b>Twins</b> - Quick Amersfoort)",76,244,222,21,50,22,7,0,3,16,4,1,3,1,2,52,0,6,Left Fielder,0,0,0,0,0,18,47,0,14,2,5,0,0.22522522522522523,.225,0.3417535290964322,.341,0.2972972972972973,.297,0.5800841825431989,.580,0.07207207207207207,.072
Mick Vos,"May 19, 2018 (Twins - <b>Curacao Neptunus</b>)","June 13, 2019 (DSS - <b>Curacao Neptunus</b>)",7,9,8,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,Second Baseman,0,6,0,0,0,0,0,0,2,0,0,1,0.25,.250,0.34175307774316704,.341,0.25,.250,0.5833333333333333,.583,0.0,.000
Mika de Lincel,"April 23, 2011 (HCAW - <b>Hoofddorp Pioniers</b>)","September 5, 2013 (<b>Hoofddorp Pioniers</b> - L&D Amsterdam Pirates)",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,38,0,0,0,0,0.0,.000,0.34175307774316704,.341,0.0,.000,,.000,0.0,.000
Mike Bazuin,"May 16, 2010 (Hoofddorp Pioniers - <b>Sparta-Feyenoord</b>)","September 3, 2017 (Twins - <b>UVV</b>)",253,930,850,89,192,109,28,8,6,47,14,15,6,8,16,165,3,14,Third Baseman,18,40,113,0,7,25,36,5,13,2,18,24,0.22588235294117648,.225,0.3413394618223173,.341,0.2988235294117647,.298,0.5654901960784313,.565,0.07294117647058823,.072
Mike Groen,"August 10, 2014 (Hoofddorp Pioniers - <b>L&D Amsterdam Pirates</b>)","September 1, 2019 (Curacao Neptunus - <b>L&D Amsterdam Pirates</b>)",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,96,0,0,0,0,0.0,.000,0.3413394618223173,.341,0.0,.000,,.000,0.0,.000
Mike Patist,"September 18, 2010 (<b>UVV</b> - Almere Magpies)","July 25, 2011 (Curacao Neptunus - <b>UVV</b>)",3,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Pinch Hitter,0,0,0,0,0,1,0,0,3,0,0,0,0.25,.250,0.3413372978031546,.341,0.25,.250,0.5,.500,0.0,.000
Mike van den Berg,"May 28, 2017 (<b>Curacao Neptunus</b> - DSS)","May 28, 2017 (<b>Curacao Neptunus</b> - DSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,1,0,0,0,0,0.0,.000,0.3413372978031546,.341,0.0,.000,,.000,0.0,.000
Mikey De La Cruz,"April 28, 2018 (<b>L&D Amsterdam Pirates</b> - DSS)","August 2, 2018 (HCAW - <b>L&D Amsterdam Pirates</b>)",16,36,35,4,6,5,0,1,0,0,1,1,1,0,0,10,0,0,Left Fielder,0,0,0,0,7,0,7,0,3,2,1,0,0.17142857142857143,.171,0.3413059827440205,.341,0.22857142857142856,.228,0.423015873015873,.423,0.05714285714285714,.057
Milan Lammerts,"April 16, 2015 (<b>Hoofddorp Pioniers</b> - Mampaey Hawks)","August 30, 2015 (<b>Hoofddorp Pioniers</b> - Kinheim)",12,15,14,1,2,3,1,0,0,1,1,0,0,0,0,4,0,0,Second Baseman,0,7,0,0,0,1,0,0,3,1,0,3,0.14285714285714285,.142,0.3412934321782999,.341,0.21428571428571427,.214,0.41428571428571426,.414,0.07142857142857142,.071
Milan Post,"June 23, 2012 (HCAW - <b>L&D Amsterdam Pirates</b>)","August 18, 2013 (<b>L&D Amsterdam Pirates</b> - Curacao Neptunus)",14,42,36,6,8,5,0,1,0,1,1,0,3,2,0,8,0,1,Catcher,0,0,0,13,0,0,1,0,0,1,0,0,0.2222222222222222,.222,0.34127961355859965,.341,0.2777777777777778,.277,0.5634920634920635,.563,0.05555555555555555,.055
Milo Botman,"April 6, 2019 (<b>Silicon Storks</b> - L&D Amsterdam Pirates)","July 28, 2019 (Curacao Neptunus - <b>Silicon Storks</b>)",25,73,65,4,11,2,0,0,0,5,2,0,3,0,0,26,0,0,Catcher,0,0,0,10,0,5,6,0,2,0,3,0,0.16923076923076924,.169,0.34124462274924705,.341,0.16923076923076924,.169,0.42950474183350895,.429,0.0,.000
Misja Harcksen,"May 26, 2013 (<b>Curacao Neptunus</b> - L&D Amsterdam Pirates)","October 12, 2020 (<b>Curacao Neptunus</b> - L&D Amsterdam Pirates)",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,93,0,0,0,0,0.0,.000,0.34124462274924705,.341,0.0,.000,,.000,0.0,.000
Mitchel Dautzenberg,"September 27, 2014 (Mampaey Hawks - <b>DSS</b>)","September 17, 2020 (Twins - <b>DSS/KINHEIM</b>)",228,797,704,83,177,75,25,3,1,55,16,14,6,27,5,87,0,19,Shortstop,0,29,0,0,1,11,2,0,5,14,1,181,0.25142045454545453,.251,0.34104454757473673,.341,0.2997159090909091,.299,0.5983357334321889,.598,0.048295454545454544,.048
Mitchel Koot,"April 10, 2010 (<b>HCAW</b> - Hoofddorp Pioniers)","August 27, 2016 (UVV - <b>DSS</b>)",186,695,588,71,133,57,14,1,1,83,14,13,10,10,4,82,0,14,Third Baseman,29,2,75,35,0,37,5,0,12,1,1,0,0.2261904761904762,.226,0.34097987577056854,.340,0.2585034013605442,.258,0.5836832574756521,.583,0.03231292517006803,.032
Mitchell Berghmans,"April 16, 2015 (Hoofddorp Pioniers - <b>Mampaey Hawks</b>)","May 11, 2019 (<b>Quick Amersfoort</b> - L&D Amsterdam Pirates)",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,9,0,0,0,0,0.0,.000,0.34097987577056854,.340,0.0,.000,,.000,0.0,.000
Mitchell Graham,"April 10, 2010 (Kinheim - <b>Almere Magpies</b>)","May 1, 2010 (Curacao Neptunus - <b>Almere Magpies</b>)",9,38,34,3,8,4,2,1,0,3,0,0,0,0,0,10,1,1,Shortstop,0,0,0,0,0,0,0,0,0,0,0,9,0.23529411764705882,.235,0.3409742624421653,.340,0.35294117647058826,.352,0.6687306501547987,.668,0.11764705882352941,.117
Mitchell Hetem,"August 19, 2017 (DSS - <b>Onze Gezellen</b>)","September 19, 2017 (<b>Onze Gezellen</b> - Silicon Storks)",6,9,9,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,Left Fielder,0,0,0,0,1,0,3,0,3,0,2,0,0.1111111111111111,.111,0.34096213160703187,.340,0.1111111111111111,.111,0.2222222222222222,.222,0.0,.000
Mitchell Koot,"September 27, 2014 (Mampaey Hawks - <b>DSS</b>)","October 11, 2014 (Mampaey Hawks - <b>DSS</b>)",5,25,23,1,7,6,1,0,0,0,0,1,2,0,0,2,0,2,Third Baseman,0,0,5,0,0,0,0,0,0,0,0,0,0.30434782608695654,.304,0.3409649220522622,.340,0.34782608695652173,.347,0.7078260869565217,.707,0.043478260869565216,.043
Moises Melendez,"May 1, 2011 (<b>HCAW</b> - Curacao Neptunus)","August 30, 2011 (<b>HCAW</b> - AdoLakers)",22,5,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,1,0,21,0,0,0,0,0.0,.000,0.3409607898316214,.340,0.0,.000,0.2,.200,0.0,.000
Molenaar,"September 19, 2015 (Mampaey Hawks - <b>Twins</b>)","September 26, 2015 (Mampaey Hawks - <b>Twins</b>)",3,11,10,1,1,0,0,0,0,1,1,0,0,0,0,4,0,0,Left Fielder,0,0,0,0,0,0,3,0,0,0,0,0,0.1,.100,0.34095052732165154,.340,0.1,.100,0.28181818181818186,.281,0.0,.000
Moreno Vork,"May 7, 2016 (<b>HCAW</b> - L&D Amsterdam Pirates)","October 7, 2019 (<b>DSS</b> - Kinheim)",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,63,0,0,0,0,0.0,.000,0.34095052732165154,.340,0.0,.000,,.000,0.0,.000
Morris Wiesemann,"August 7, 2016 (<b>Hoofddorp Pioniers</b> - UVV)","August 28, 2016 (Kinheim - <b>Hoofddorp Pioniers</b>)",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,4,0,0,0,0,0.0,.000,0.34095052732165154,.340,0.0,.000,,.000,0.0,.000
Mourik Huijser,"April 11, 2010 (Sparta-Feyenoord - <b>Curacao Neptunus</b>)","August 16, 2015 (Kinheim - <b>Curacao Neptunus</b>)",146,511,407,63,96,35,10,2,0,67,8,5,15,14,7,56,1,14,Catcher,0,0,0,137,0,8,1,0,7,1,0,0,0.23587223587223588,.235,0.3409784324039979,.340,0.2702702702702703,.270,0.6205638123446342,.620,0.0343980343980344,.034
NAESSENS,"July 23, 2020 (<b>Silicon Storks</b> - Twins)","September 24, 2020 (<b>Silicon Storks</b> - Twins)",28,8,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,6,22,2,0,0,0,0.25,.250,0.34097417854095313,.340,0.25,.250,0.5,.500,0.0,.000
NAGEL,"August 2, 2020 (Curacao Neptunus - <b>DSS/KINHEIM</b>)","September 13, 2020 (<b>DSS/KINHEIM</b> - Silicon Storks)",18,30,18,2,4,2,0,0,0,10,0,0,2,0,0,6,0,0,Shortstop,0,4,0,0,0,0,0,0,2,4,0,10,0.2222222222222222,.222,0.34100790051890983,.341,0.2222222222222222,.222,0.7555555555555555,.755,0.0,.000
