PlayerName,Year,League,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
"
Izzy Wilson
",2017,A-SALL,43,191,168,28,44,20,3,3,2,18,9,3,3,0,2,52,0,2,Right Fielder,0,0,0,0,12,0,0,0,0,0,28,0,0.2619047619047619,.261,0.32581709981868057,.325,0.35119047619047616,.351,0.6915046123161306,.691,0.08928571428571429,.089
"
Izzy Wilson
",2017,Rk-APPY,17,77,68,11,17,12,2,3,4,9,2,0,0,0,0,18,0,1,Center Fielder,0,0,0,0,17,0,0,0,0,0,0,0,0.25,.250,0.32585935328453625,.325,0.5441176470588235,.544,0.8817799847211611,.881,0.29411764705882354,.294
"
Izzy Wilson
",2018,A+-FLOR,41,153,137,16,29,10,5,1,2,14,5,1,0,1,1,44,0,1,Left Fielder,0,0,0,0,5,0,28,0,0,0,4,0,0.2116788321167883,.211,0.3255439532637196,.325,0.30656934306569344,.306,0.5876150946996803,.587,0.0948905109489051,.094
"
Izzy Wilson
",2018,A-SALL,68,257,223,38,51,25,10,2,6,28,11,4,1,4,1,77,0,2,Right Fielder,0,0,0,0,21,0,0,0,0,0,46,0,0.22869955156950672,.228,0.32537734133478813,.325,0.3721973094170404,.372,0.6834813561096473,.683,0.14349775784753363,.143
"
Izzy Wilson
",2019,A+-FLOR,65,217,187,27,39,14,10,3,3,29,10,3,1,0,0,73,0,0,Center Fielder,0,0,1,0,23,0,8,0,0,0,23,0,0.20855614973262032,.208,0.3253050015756539,.325,0.3422459893048128,.342,0.6602183395352276,.660,0.13368983957219252,.133
"
Izzy Wilson
",2019,A-MIDW,25,98,85,11,20,13,1,1,3,11,7,1,2,0,0,28,0,3,Right Fielder,0,0,0,0,10,0,2,0,0,0,13,0,0.23529411764705882,.235,0.3253552059522209,.325,0.3764705882352941,.376,0.7132052821128452,.713,0.1411764705882353,.141
"
J'Rudjeanon Isenia
",2019,FRk-DOSL,26,81,75,10,10,4,3,0,0,1,3,0,2,2,1,25,0,2,Left Fielder,0,0,0,0,2,0,13,0,0,0,2,0,0.13333333333333333,.133,0.3247588424437299,.324,0.17333333333333334,.173,0.33382716049382716,.333,0.04,.040
"
Jerrick Francees
",2018,FRk-DOSL,31,96,86,3,15,9,0,0,0,7,0,4,2,1,0,35,0,1,Second Baseman,0,15,0,0,0,0,0,0,0,0,0,0,0.1744186046511628,.174,0.3244397011739594,.324,0.1744186046511628,.174,0.42441860465116277,.424,0.0,.000
"
Jiandido Tromp
",2012,A--NYPL,13,54,48,8,10,5,3,0,0,2,3,0,1,1,2,15,0,0,Center Fielder,0,0,0,0,8,0,1,0,0,0,4,0,0.20833333333333334,.208,0.3242391979416201,.324,0.2708333333333333,.270,0.5115740740740741,.511,0.0625,.062
"
Jiandido Tromp
",2012,Rk-GULF,28,100,88,14,18,11,5,3,2,9,1,4,1,1,1,30,0,4,Center Fielder,0,0,0,0,10,0,9,0,0,0,6,0,0.20454545454545456,.204,0.324043812384065,.324,0.3977272727272727,.397,0.6777272727272727,.677,0.19318181818181818,.193
