Name,Id,league
Spencer Howard,675921,MLB
James Hoyt,624586,MLB
Dakota Hudson,641712,MLB
Daniel Hudson,543339,MLB
Joe Hudson,621529,MLB
Sam Huff,669087,MLB
Jared Hughes,453172,MLB
Tommy Hunter,488984,MLB
Jose Iglesias,578428,MLB
Raisel Iglesias,628452,MLB
Ender Inciarte,542255,MLB
Cole Irvin,608344,MLB
Alex Jackson,656577,MLB
Luke Jackson,592426,MLB
Josh James,657624,MLB
Travis Jankowski,608671,MLB
Danny Jansen,643376,MLB
Kenley Jansen,445276,MLB
Cristian Javier,664299,MLB
Jon Jay,445055,MLB
Daulton Jefferies,641726,MLB
Ryan Jeffers,680777,MLB
Jeremy Jeffress,502026,MLB
Dany Jimenez,666204,MLB
Eloy Jimenez,650391,MLB
Joe Jimenez,641729,MLB
Daniel Johnson,669288,MLB
Pierce Johnson,572955,MLB
JaCoby Jones,592444,MLB
Jahmai Jones,663330,MLB
Nate Jones,518858,MLB
Taylor Jones,622100,MLB
Caleb Joseph,543376,MLB
Matt Joyce,459964,MLB
Aaron Judge,592450,MLB
Jakob Junis,596001,MLB
Ariel Jurado,642558,MLB
Tommy Kahnle,592454,MLB
Rob Kaminsky,641739,MLB
James Kaprielian,621076,MLB
James Karinchak,675916,MLB
Anthony Kay,641743,MLB
Keone Kela,605309,MLB
Brad Keller,641745,MLB
Kyle Keller,664918,MLB
Mitch Keller,656605,MLB
Trevor Kelley,665001,MLB
Carson Kelly,608348,MLB
Joe Kelly,523260,MLB
Merrill Kelly,518876,MLB
Matt Kemp,461314,MLB
Tony Kemp,643393,MLB
Howie Kendrick,435062,MLB
Ian Kennedy,453178,MLB
Max Kepler,596146,MLB
Clayton Kershaw,477132,MLB
Dallas Keuchel,572971,MLB
Mike Kickham,592464,MLB
Carter Kieboom,666198,MLB
Kevin Kiermaier,595281,MLB
Yusei Kikuchi,579328,MLB
Franklyn Kilome,642584,MLB
Kwang Hyun Kim,547942,MLB
Craig Kimbrel,518886,MLB
Isiah Kiner-Falefa,643396,MLB
John King,667463,MLB
Michael King,650633,MLB
Scott Kingery,664068,MLB
Tyler Kinley,641755,MLB
Brandon Kintzler,445213,MLB
Jason Kipnis,543401,MLB
Alejandro Kirk,672386,MLB
Andrew Kittredge,552640,MLB
Branden Kline,571858,MLB
Corey Kluber,446372,MLB
Andrew Knapp,595284,MLB
Corey Knebel,608349,MLB
Andrew Knizner,668800,MLB
Adam Kolarek,592473,MLB
Erik Kratz,456124,MLB
Dean Kremer,665152,MLB
Brooks Kriske,621139,MLB
Chad Kuhl,641771,MLB
Joel Kuhnel,669270,MLB
Tommy La Stella,600303,MLB
Juan Lagares,501571,MLB
Brady Lail,621078,MLB
Travis Lakins Sr.,664042,MLB
Jake Lamb,571875,MLB
Jimmy Lambert,669424,MLB
Dinelson Lamet,659275,MLB
Eric Lauer,641778,MLB
Ramon Laureano,657656,MLB
Ryan Lavarnway,543432,MLB
Wade LeBlanc,453281,MLB
Jose Leclerc,600917,MLB
Brandon Leibrandt,605335,MLB
DJ LeMahieu,518934,MLB
Sandy Leon,506702,MLB
Dominic Leone,608678,MLB
Jon Lester,452657,MLB
Artie Lewicki,592499,MLB
Kyle Lewis,641786,MLB
Robinson Leyer,622490,MLB
Tzu-Wei Lin,624407,MLB
Josh Lindblom,458676,MLB
Francisco Lindor,596019,MLB
Zack Littell,641793,MLB
Mauricio Llovera,661440,MLB
Jonathan Loaisiga,642528,MLB
Tim Locastro,641796,MLB
Walker Lockett,621141,MLB
Shed Long Jr.,643418,MLB
Evan Longoria,446334,MLB
Tim Lopes,621005,MLB
Jorge Lopez,605347,MLB
Nicky Lopez,670032,MLB
Pablo Lopez,641154,MLB
Reynaldo Lopez,625643,MLB
Yoan Lopez,661255,MLB
Michael Lorenzen,547179,MLB
Aaron Loup,571901,MLB
Richard Lovelady,663992,MLB
Brandon Lowe,664040,MLB
Nate Lowe,663993,MLB
Joey Lucchesi,664192,MLB
Jonathan Lucroy,518960,MLB
Dawel Lugo,608475,MLB
Seth Lugo,607625,MLB
Jordan Luplow,656669,MLB
Gavin Lux,666158,MLB
Jesus Luzardo,666200,MLB
Jordan Lyles,543475,MLB
Lance Lynn,458681,MLB
Tyler Lyons,544928,MLB
Manny Machado,592518,MLB
Vimael Machin,605353,MLB
Nick Madrigal,663611,MLB
Kenta Maeda,628317,MLB
Matt Magill,543483,MLB
Tyler Mahle,641816,MLB
Martin Maldonado,455117,MLB
Sean Manaea,640455,MLB
Joe Mantiply,573009,MLB
Dillon Maples,596027,MLB
Rafael Marchan,665561,MLB
Nick Margevicius,676606,MLB
Manuel Margot,622534,MLB
Jake Marisnick,545350,MLB
Nick Markakis,455976,MLB
Jose Marmolejos,592530,MLB
Brailyn Marquez,666622,MLB
German Marquez,608566,MLB
Evan Marshall,605359,MLB
Ketel Marte,606466,MLB
Starling Marte,516782,MLB
Brett Martin,656685,MLB
Chris Martin,455119,MLB
Jason Martin,641829,MLB
Carlos Martinez,593372,MLB
J.D. Martinez,502110,MLB
Jose Martinez,500874,MLB
Jorge Mateo,622761,MLB
Mark Mathias,664029,MLB
Jeff Mathis,425772,MLB
Wyatt Mathisen,621500,MLB
Phil Maton,664208,MLB
Steven Matz,571927,MLB
Tyler Matzek,554431,MLB
Dustin May,669160,MLB
Trevor May,543507,MLB
Cameron Maybin,457727,MLB
Mike Mayers,594577,MLB
Jack Mayfield,608686,MLB
Nomar Mazara,608577,MLB
Chris Mazza,607391,MLB
Ryan McBroom,643436,MLB
James McCann,543510,MLB
Joe McCarthy,663411,MLB
Kevin McCarthy,641838,MLB
Reggie McClain,596035,MLB
Lance McCullers Jr.,621121,MLB
Andrew McCutchen,457705,MLB
T.J. McFarland,519008,MLB
Jake McGee,459429,MLB
Kyle McGowin,641851,MLB
Reese McGuire,624512,MLB
David McKay,641853,MLB
Triston McKenzie,663474,MLB
Billy McKinney,641856,MLB
Zach McKinstry,656716,MLB
Ryan McMahon,641857,MLB
Jeff McNeil,643446,MLB
Alex McRae,656725,MLB
Austin Meadows,640457,MLB
John Means,607644,MLB
Nick Mears,683232,MLB
Adonis Medina,658431,MLB
Ryan Meisinger,664682,MLB
Erick Mejia,625510,MLB
Francisco Mejia,642336,MLB
Humberto Mejia,650668,MLB
Mark Melancon,453343,MLB
Keury Mella,622492,MLB
Danny Mendick,664901,MLB
Conner Menez,669214,MLB
Daniel Mengden,596043,MLB
Oscar Mercado,640458,MLB
Yermin Mercedes,606213,MLB
Jordy Mercer,474568,MLB
Whit Merrifield,593160,MLB
Julian Merryweather,657240,MLB
Keynan Middleton,641871,MLB
Wade Miley,489119,MLB
Andrew Miller,453192,MLB
Brad Miller,543543,MLB
Ian Miller,641878,MLB
Tyson Miller,668338,MLB
Alec Mills,621219,MLB
Hoby Milner,571948,MLB
Tommy Milone,543548,MLB
Mike Minor,501985,MLB
A.J. Minter,621345,MLB
Anthony Misiewicz,664948,MLB
Casey Mize,663554,MLB
Yadier Molina,425877,MLB
Yoan Moncada,660162,MLB
Adalberto Mondesi,609275,MLB
Mickey Moniak,666160,MLB
Frankie Montas,593423,MLB
Rafael Montero,606160,MLB
Jordan Montgomery,656756,MLB
Mike Montgomery,543557,MLB
Dylan Moore,664238,MLB
Brian Moran,572383,MLB
Colin Moran,592567,MLB
Adrian Morejon,670970,MLB
Mitch Moreland,519048,MLB
Adam Morgan,605388,MLB
Mike Morin,573046,MLB
Logan Morrison,489149,MLB
Charlie Morton,450203,MLB
Ryan Mountcastle,663624,MLB
Mike Moustakas,519058,MLB
Jose Mujica,620445,MLB
Cedric Mullins,656775,MLB
Max Muncy,571970,MLB
Yairo Munoz,622168,MLB
Daniel Murphy,502517,MLB
John Ryan Murphy,571974,MLB
Patrick Murphy,641907,MLB
Sean Murphy,669221,MLB
Joe Musgrove,605397,MLB
Wil Myers,571976,MLB
Tyler Naquin,571980,MLB
Omar Narvaez,553882,MLB
Brian Navarreto,640459,MLB
Josh Naylor,647304,MLB
Nick Neidert,663734,MLB
Kyle Nelson,669459,MLB
Nick Nelson,656793,MLB
Hector Neris,593576,MLB
Dovydas Neverauskas,596720,MLB
Jake Newberry,623470,MLB
Sean Newcomb,656794,MLB
Kevin Newman,621028,MLB
Ljay Newsome,664714,MLB
Juan Nicasio,504379,MLB
Tomas Nido,621512,MLB
Brandon Nimmo,607043,MLB
John Nogowski,596056,MLB
Aaron Nola,605400,MLB
Austin Nola,543592,MLB
Jake Noll,669738,MLB
Daniel Norris,596057,MLB
James Norwood,656803,MLB
Jacob Nottingham,641924,MLB
Ivan Nova,467100,MLB
Eduardo Nunez,456488,MLB
Renato Nunez,600524,MLB
Darren O'Day,503285,MLB
Brian O'Grady,657434,MLB
Ryan O'Hearn,656811,MLB
Tyler O'Neill,641933,MLB
Joseph Odom,641929,MLB
Rougned Odor,596059,MLB
Jake Odorizzi,543606,MLB
Shohei Ohtani,660271,MLB
Jared Oliva,666931,MLB
Edward Olivares,658668,MLB
Matt Olson,621566,MLB
Jorge Ona,671250,MLB
Nate Orf,644337,MLB
Josh Osich,592612,MLB
Jose Osuna,591741,MLB
Roberto Osuna,532077,MLB
Corey Oswalt,621261,MLB
